Index,CTE,p_error,d_error,i_error,steering_output
2794,-0.2047,-0.030705,0.11004,0.0488461,0.128181
2795,-0.1693,-0.025395,0.07434,0.0486768,0.0976218
2796,-0.1206,-0.01809,0.10227,0.0485562,0.132736
2797,-0.0917,-0.013755,0.06069,0.0484645,0.0953995
2798,-0.056,-0.0084,0.07497,0.0484085,0.114978
2799,-0.0378,-0.00567,0.03822,0.0483707,0.0809207
2800,-0.0198,-0.00297,0.0378,0.0483509,0.0831809
2801,-0.013,-0.00195,0.01428,0.0483379,0.0606679
2802,-0.0147,-0.002205,-0.00357,0.0483232,0.0425482
2803,-0.0258,-0.00387,-0.02331,0.0482974,0.0211174
2804,-0.0384,-0.00576,-0.02646,0.048259,0.016039
2805,-0.0543,-0.008145,-0.03339,0.0482047,0.0066697
2806,-0.0834,-0.01251,-0.06111,0.0481213,-0.0254987
2807,-0.1174,-0.01761,-0.0714,0.0480039,-0.0410061
2808,-0.1413,-0.021195,-0.05019,0.0478626,-0.0235224
2809,-0.1767,-0.026505,-0.07434,0.0476859,-0.0531591
2810,-0.1994,-0.02991,-0.04767,0.0474865,-0.0300935
2811,-0.228,-0.0342,-0.06006,0.0472585,-0.0470015
2812,-0.2252,-0.03378,0.00588,0.0470333,0.0191333
2813,-0.203,-0.03045,0.04662,0.0468303,0.0630003
2814,-0.1631,-0.024465,0.08379,0.0466672,0.105992
2815,-0.1361,-0.020415,0.0567,0.0465311,0.0828161
2816,-0.0991,-0.014865,0.0777,0.046432,0.109267
2817,-0.0775,-0.011625,0.04536,0.0463545,0.0800895
2818,-0.0515,-0.007725,0.0546,0.046303,0.093178
2819,-0.0338,-0.00507,0.03717,0.0462692,0.0783692
2820,-0.0269,-0.004035,0.01449,0.0462423,0.0566973
2821,-0.0245,-0.003675,0.00504,0.0462178,0.0475828
2822,-0.0278,-0.00417,-0.00693,0.04619,0.03509
2823,-0.0395,-0.005925,-0.02457,0.0461505,0.0156555
2824,-0.0584,-0.00876,-0.03969,0.0460921,-0.0023579
2825,-0.0742,-0.01113,-0.03318,0.0460179,0.0017079
2826,-0.1009,-0.015135,-0.05607,0.045917,-0.025288
2827,-0.1203,-0.018045,-0.04074,0.0457967,-0.0129883
2828,-0.1496,-0.02244,-0.06153,0.0456471,-0.0383229
2829,-0.1688,-0.02532,-0.04032,0.0454783,-0.0201617
2830,-0.1956,-0.02934,-0.05628,0.0452827,-0.0403373
2831,-0.219,-0.03285,-0.04914,0.0450637,-0.0369263
2832,-0.2272,-0.03408,-0.01722,0.0448365,-0.0064635
2833,-0.209,-0.03135,0.03822,0.0446275,0.0514975
2834,-0.1805,-0.027075,0.05985,0.044447,0.077222
2835,-0.1345,-0.020175,0.0966,0.0443125,0.120737
2836,-0.0901,-0.013515,0.09324,0.0442224,0.123947
2837,-0.0635,-0.009525,0.05586,0.0441589,0.0904939
2838,-0.0311,-0.004665,0.06804,0.0441278,0.107503
2839,-0.0146,-0.00219,0.03465,0.0441132,0.0765732
2840,0.0014,0.00021,0.0336,0.0441146,0.0779246
2841,0.0069,0.001035,0.01155,0.0441215,0.0567065
2842,0.0048,0.00072,-0.00441,0.0441263,0.0404363
2843,-0.0064,-0.00096,-0.02352,0.0441199,0.0196399
2844,-0.0262,-0.00393,-0.04158,0.0440937,-0.0014163
2845,-0.0435,-0.006525,-0.03633,0.0440502,0.0011952
2846,-0.0732,-0.01098,-0.06237,0.043977,-0.029373
2847,-0.095,-0.01425,-0.04578,0.043882,-0.016148
2848,-0.1284,-0.01926,-0.07014,0.0437536,-0.0456464
2849,-0.1506,-0.02259,-0.04662,0.043603,-0.025607
2850,-0.1816,-0.02724,-0.0651,0.0434214,-0.0489186
2851,-0.2092,-0.03138,-0.05796,0.0432122,-0.0461278
2852,-0.2247,-0.033705,-0.03255,0.0429875,-0.0232675
2853,-0.2426,-0.03639,-0.03759,0.0427449,-0.0312351
2854,-0.2509,-0.037635,-0.01743,0.042494,-0.012571
2855,-0.2458,-0.03687,0.01071,0.0422482,0.0160882
2856,-0.1995,-0.029925,0.09723,0.0420487,0.109354
2857,-0.1045,-0.015675,0.1995,0.0419442,0.225769
2858,-0.0091,-0.001365,0.20034,0.0419351,0.24091
2859,0.0485,0.007275,0.12096,0.0419836,0.170219
2860,0.1189,0.017835,0.14784,0.0421025,0.207777
2861,0.1548,0.02322,0.07539,0.0422573,0.140867
2862,0.1897,0.028455,0.07329,0.042447,0.144192
2863,0.2021,0.030315,0.02604,0.0426491,0.0990041
2864,0.198,0.0297,-0.00861,0.0428471,0.0639371
2865,0.1745,0.026175,-0.04935,0.0430216,0.0198466
2866,0.1485,0.022275,-0.0546,0.0431701,0.0108451
2867,0.0976,0.01464,-0.10689,0.0432677,-0.0489823
2868,0.035,0.00525,-0.13146,0.0433027,-0.0829073
2869,-0.0106,-0.00159,-0.09576,0.0432921,-0.0540579
2870,-0.0796,-0.01194,-0.1449,0.0432125,-0.113628
2871,-0.1249,-0.018735,-0.09513,0.0430876,-0.0707774
2872,-0.1875,-0.028125,-0.13146,0.0429001,-0.116685
2873,-0.24,-0.036,-0.11025,0.0426601,-0.10359
2874,-0.2578,-0.03867,-0.03738,0.0424023,-0.0336477
2875,-0.2547,-0.038205,0.00651,0.0421476,0.0104526
2876,-0.244,-0.0366,0.02247,0.0419036,0.0277736
2877,-0.2207,-0.033105,0.04893,0.0416829,0.0575079
