Index,CTE,p_error,d_error,i_error,steering_output
144,0.3483,0.03483,0,0,0.03483
145,0.3691,0.03691,0,0,0.03691
146,0.3996,0.03996,0,0,0.03996
147,0.4294,0.04294,0,0,0.04294
148,0.4487,0.04487,0,0,0.04487
149,0.4766,0.04766,0,0,0.04766
150,0.4945,0.04945,0,0,0.04945
151,0.5201,0.05201,0,0,0.05201
152,0.5439,0.05439,0,0,0.05439
153,0.5588,0.05588,0,0,0.05588
154,0.5794,0.05794,0,0,0.05794
155,0.5919,0.05919,0,0,0.05919
156,0.6087,0.06087,0,0,0.06087
157,0.6185,0.06185,0,0,0.06185
158,0.631,0.0631,0,0,0.0631
159,0.6378,0.06378,0,0,0.06378
160,0.6455,0.06455,0,0,0.06455
161,0.6527,0.06527,0,0,0.06527
162,0.6607,0.06607,0,0,0.06607
163,0.6789,0.06789,0,0,0.06789
164,0.6951,0.06951,0,0,0.06951
165,0.7221,0.07221,0,0,0.07221
166,0.7382,0.07382,0,0,0.07382
167,0.7592,0.07592,0,0,0.07592
168,0.7711,0.07711,0,0,0.07711
169,0.7856,0.07856,0,0,0.07856
170,0.793,0.0793,0,0,0.0793
171,0.8004,0.08004,0,0,0.08004
172,0.8028,0.08028,0,0,0.08028
173,0.8026,0.08026,-0,0,0.08026
174,0.7998,0.07998,-0,0,0.07998
175,0.7917,0.07917,-0,0,0.07917
176,0.7787,0.07787,-0,0,0.07787
177,0.7673,0.07673,-0,0,0.07673
178,0.7461,0.07461,-0,0,0.07461
179,0.7292,0.07292,-0,0,0.07292
180,0.6999,0.06999,-0,0,0.06999
181,0.6776,0.06776,-0,0,0.06776
182,0.6404,0.06404,-0,0,0.06404
183,0.613,0.0613,-0,0,0.0613
184,0.5683,0.05683,-0,0,0.05683
185,0.5193,0.05193,-0,0,0.05193
186,0.4844,0.04844,-0,0,0.04844
187,0.4289,0.04289,-0,0,0.04289
188,0.39,0.039,-0,0,0.039
189,0.3291,0.03291,-0,0,0.03291
190,0.2868,0.02868,-0,0,0.02868
191,0.2215,0.02215,-0,0,0.02215
192,0.154,0.0154,-0,0,0.0154
193,0.1081,0.01081,-0,0,0.01081
194,0.0451,0.00451,-0,0,0.00451
195,0.0125,0.00125,-0,0,0.00125
196,-0.0296,-0.00296,-0,0,-0.00296
197,-0.0613,-0.00613,-0,0,-0.00613
198,-0.082,-0.0082,-0,0,-0.0082
199,-0.1122,-0.01122,-0,0,-0.01122
200,-0.1315,-0.01315,-0,0,-0.01315
201,-0.1591,-0.01591,-0,0,-0.01591
202,-0.1764,-0.01764,-0,0,-0.01764
203,-0.2004,-0.02004,-0,0,-0.02004
204,-0.2218,-0.02218,-0,0,-0.02218
205,-0.2346,-0.02346,-0,0,-0.02346
206,-0.251,-0.0251,-0,0,-0.0251
207,-0.2642,-0.02642,-0,0,-0.02642
208,-0.271,-0.0271,-0,0,-0.0271
209,-0.278,-0.0278,-0,0,-0.0278
210,-0.2805,-0.02805,-0,0,-0.02805
211,-0.2808,-0.02808,-0,0,-0.02808
212,-0.2786,-0.02786,0,0,-0.02786
213,-0.2718,-0.02718,0,0,-0.02718
214,-0.2605,-0.02605,0,0,-0.02605
215,-0.2505,-0.02505,0,0,-0.02505
216,-0.2317,-0.02317,0,0,-0.02317
217,-0.2167,-0.02167,0,0,-0.02167
218,-0.1905,-0.01905,0,0,-0.01905
219,-0.16,-0.016,0,0,-0.016
220,-0.1372,-0.01372,0,0,-0.01372
221,-0.0997,-0.00997,0,0,-0.00997
222,-0.0583,-0.00583,0,0,-0.00583
223,-0.0286,-0.00286,0,0,-0.00286
224,-0.0368,-0.00368,-0,0,-0.00368
225,0.078,0.0078,0,0,0.0078
226,0.1643,0.01643,0,0,0.01643
227,0.2591,0.02591,0,0,0.02591
228,0.3233,0.03233,0,0,0.03233
229,0.4207,0.04207,0,0,0.04207
230,0.4859,0.04859,0,0,0.04859
231,0.5833,0.05833,0,0,0.05833
232,0.6797,0.06797,0,0,0.06797
233,0.743,0.0743,0,0,0.0743
234,0.8353,0.08353,0,0,0.08353
235,0.8948,0.08948,0,0,0.08948
236,0.9799,0.09799,0,0,0.09799
237,1.0334,0.10334,0,0,0.10334
238,1.1081,0.11081,0,0,0.11081
239,1.1752,0.11752,0,0,0.11752
240,1.2152,0.12152,0,0,0.12152
241,1.2673,0.12673,0,0,0.12673
242,1.2964,0.12964,0,0,0.12964
243,1.3311,0.13311,0,0,0.13311
244,1.3544,0.13544,0,0,0.13544
245,1.3632,0.13632,0,0,0.13632
246,1.366,0.1366,0,0,0.1366
247,1.3557,0.13557,-0,0,0.13557
248,1.3415,0.13415,-0,0,0.13415
249,1.3087,0.13087,-0,0,0.13087
250,1.2792,0.12792,-0,0,0.12792
251,1.2235,0.12235,-0,0,0.12235
252,1.1787,0.11787,-0,0,0.11787
253,1.1003,0.11003,-0,0,0.11003
254,1.0117,0.10117,-0,0,0.10117
255,0.9572,0.09572,-0,0,0.09572
256,0.8899,0.08899,-0,0,0.08899
257,0.8358,0.08358,-0,0,0.08358
258,0.7943,0.07943,-0,0,0.07943
259,0.7237,0.07237,-0,0,0.07237
260,0.6712,0.06712,-0,0,0.06712
261,0.5849,0.05849,-0,0,0.05849
262,0.4901,0.04901,-0,0,0.04901
263,0.4226,0.04226,-0,0,0.04226
264,0.3156,0.03156,-0,0,0.03156
265,0.2409,0.02409,-0,0,0.02409
266,0.1244,0.01244,-0,0,0.01244
